Alpha-2 code,Year,Total Livestock,Country,Alpha-3 code,Numeric
MK,2022 ,1093.0,Republic of North Macedonia,MKD,807
MT,2022 ,64.34,Malta,MLT,470
GB,2022 ,38823.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
TR,2022 ,67380.58,Turkey,TUR,792
PT,2022 ,6253.280000000001,Portugal,PRT,620
RO,2022 ,16485.4,Romania,ROU,642
RS,2022 ,5561.85,Serbia,SRB,688
SE,2022 ,3445.33,Sweden,SWE,752
SI,2022 ,877.51,Slovenia,SVN,705
SK,2022 ,1232.12,Slovakia,SVK,703
IT,2022 ,23221.0,Italy,ITA,380
PL,2022 ,18376.19,Poland,POL,616
IS,2022 ,497.23,Iceland,ISL,352
DE,2022 ,37689.88,Germany,DEU,276
HU,2022 ,4601.7,Hungary,HUN,348
IE,2022 ,13650.56,Ireland,IRL,372
AL,2022 ,2067.62,Albania,ALB,8
AT,2022 ,5462.43,Austria,AUT,40
BA,2022 ,1956.27,Bosnia and Herzegovina,BIH,70
BE,2022 ,8691.09,Belgium,BEL,56
CH,2022 ,5179.9,Switzerland,CHE,756
CY,2022 ,793.93,Cyprus,CYP,196
BG,2022 ,2490.8,Bulgaria,BGR,100
DK,2022 ,13695.51,Denmark,DNK,208
EE,2022 ,665.84,Estonia,EST,233
GR,2022 ,8782.1,Greece,GRC,300
ES,2022 ,55791.09,Spain,ESP,724
FI,2022 ,2194.89,Finland,FIN,246
FR,2022 ,38997.159999999996,France,FRA,250
HR,2022 ,2089.0,Croatia,HRV,191
CZ,2022 ,3250.16,Czechia,CZE,203
MK,2023 ,1093.0,Republic of North Macedonia,MKD,807
IT,2023 ,23475.0,Italy,ITA,380
LT,2023 ,1449.68,Lithuania,LTU,440
LU,2023 ,312.96999999999997,Luxembourg,LUX,442
LV,2023 ,854.8,Latvia,LVA,428
ME,2023 ,304.78,Montenegro,MNE,499
MT,2023 ,69.94,Malta,MLT,470
SK,2023 ,1245.8400000000001,Slovakia,SVK,703
PL,2023 ,18540.350000000002,Poland,POL,616
PT,2023 ,6003.31,Portugal,PRT,620
RO,2023 ,16274.7,Romania,ROU,642
RS,2023 ,4919.21,Serbia,SRB,688
SE,2023 ,3322.99,Sweden,SWE,752
SI,2023 ,864.0799999999999,Slovenia,SVN,705
IS,2023 ,497.23,Iceland,ISL,352
NL,2023 ,16402.0,Netherlands (the),NLD,528
IE,2023 ,13439.47,Ireland,IRL,372
DK,2023 ,13482.21,Denmark,DNK,208
HR,2023 ,1885.0,Croatia,HRV,191
TR,2023 ,64194.299999999996,Turkey,TUR,792
AL,2023 ,2067.62,Albania,ALB,8
AT,2023 ,5286.83,Austria,AUT,40
BA,2023 ,1956.27,Bosnia and Herzegovina,BIH,70
BE,2023 ,8284.300000000001,Belgium,BEL,56
BG,2023 ,2587.77,Bulgaria,BGR,100
CH,2023 ,5129.889999999999,Switzerland,CHE,756
CY,2023 ,774.0899999999999,Cyprus,CYP,196
CZ,2023 ,3263.73,Czechia,CZE,203
DE,2023 ,37332.420000000006,Germany,DEU,276
EE,2023 ,662.77,Estonia,EST,233
GR,2023 ,8641.5,Greece,GRC,300
ES,2023 ,54479.83,Spain,ESP,724
FI,2023 ,2145.41,Finland,FIN,246
FR,2023 ,38341.55,France,FRA,250
HU,2023 ,4650.0,Hungary,HUN,348
GB,2023 ,38823.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
